"","Meaning","NineEnd","Age"
"1203",2,0,26
"1205",4,0,38
"1206",4,0,34
"1207",2,0,32
"1208",,0,38
"1210",,0,28
"1211",2,0,34
"1213",4,0,36
"1214",,0,37
"1215",,0,43
"1216",,0,48
"1217",2,0,42
"1218",1,0,53
"1219",4,0,63
"1220",,1,29
"1221",,0,36
"1222",,0,53
"1223",4,0,63
"1225",4,0,40
"1226",4,0,33
"1227",,0,64
"1229",,0,62
"1230",,0,40
"1232",,0,43
"1233",,0,41
"1234",,0,36
"1235",,0,34
"1236",4,0,46
"1237",4,1,29
"1238",4,0,35
"1239",,0,34
"1240",4,0,33
"1241",,0,33
"1242",2,0,30
"1243",,0,33
"1244",4,0,43
"1245",2,0,33
"1246",2,0,33
"1248",,0,42
"1250",,0,36
"1251",4,0,25
"1252",2,0,38
"1253",2,0,44
"1254",4,1,29
"1256",,0,38
"1257",2,0,26
"1260",2,0,26
"1261",2,0,31
"1262",,0,30
"1263",,0,34
"1264",,0,35
"1266",2,1,49
"1267",,0,31
"1268",,0,30
"1269",,0,42
"1271",4,0,51
"1273",4,1,49
"1274",,0,64
"1275",4,0,51
"1276",,0,48
"1277",2,0,54
"1278",,0,46
"1279",4,0,26
"1280",4,0,62
"1281",,0,55
"1282",,0,51
"1284",4,0,57
"1285",4,0,43
"1286",,1,59
"1288",4,0,63
"1290",2,0,40
"1291",4,1,39
"1294",2,0,27
"1295",4,1,29
"1297",4,0,46
"1298",,0,60
"1299",,0,32
"1300",1,0,43
"1301",,0,28
"1303",,0,31
"1304",,0,35
"1305",2,0,31
"1306",4,0,54
"1307",,0,55
"1308",4,0,56
"1309",,0,31
"1310",2,0,48
"1311",,0,56
"1312",4,0,30
"1313",4,0,33
"1314",,0,33
"1315",4,0,36
"1316",4,0,37
"1317",4,0,40
"1318",2,0,36
"1319",2,0,38
"1320",,0,36
"1321",,0,44
"1322",4,0,41
"1323",2,0,32
"1324",,0,41
"1325",4,0,33
"1327",2,0,41
"1328",4,0,53
"1330",4,1,59
"1331",,0,28
"1332",4,1,29
"1334",2,0,30
"1335",,0,35
"1336",,0,40
"1337",,0,41
"1338",4,0,26
"1339",,0,33
"1340",1,0,54
"1341",,0,56
"1342",1,0,38
"1343",4,0,56
"1344",4,0,54
"1345",4,1,39
"1346",,0,40
"1347",4,0,34
"1348",4,0,53
"1350",,0,41
"1352",,0,52
"1353",4,1,29
"1354",4,0,55
"1356",,0,60
"1357",,0,36
"1358",1,1,59
"1360",,0,44
"1361",4,0,36
"1363",,0,33
"1364",,0,58
"1365",4,0,33
"1366",,0,25
"1367",4,0,50
"1368",4,0,38
"1369",,0,25
"1370",,1,39
"1371",,0,36
"1372",2,0,51
"1373",2,0,27
"1374",4,0,57
"1375",4,0,32
"1376",4,0,41
"1377",4,0,42
"1378",4,0,33
"1379",,0,42
"1382",,0,25
"1383",,0,58
"1385",,0,60
"1386",2,0,32
"1387",4,0,38
"1388",,0,41
"1389",1,0,30
"1390",,0,30
"1391",,0,30
"1392",,0,32
"1394",2,0,25
"1395",,0,26
"1396",2,0,64
"1397",,0,32
"1398",,0,40
"1400",4,0,43
"1402",,0,35
"1403",4,1,39
"1404",4,0,33
"1408",2,0,32
"1409",4,0,51
"1410",,0,54
"1411",2,1,29
"1413",4,1,39
"1416",,0,27
"1417",2,0,54
"1418",,0,27
"1420",,0,25
"1421",,0,48
"1422",,0,30
"1423",,0,57
"1424",4,0,32
"1425",,1,29
"1426",,0,27
"1427",4,0,33
"1428",,0,40
"1431",4,0,34
"1432",2,0,30
"1433",1,0,26
"1434",,0,41
"1435",,0,44
"1436",,0,30
"1438",,0,33
"1439",,0,34
"1441",2,0,46
"1442",2,0,50
"1443",4,0,32
"1444",,0,43
"1445",4,0,47
"1446",,0,31
"1447",,0,61
"1448",,0,30
"1451",4,1,59
"1452",4,0,33
"1453",4,0,55
"1454",,1,29
"1455",4,0,28
"1456",,0,52
"1457",,0,34
"1458",4,0,30
"1459",4,0,48
"1460",4,1,49
"1461",,0,43
"1463",2,0,62
"1464",4,0,55
"1465",,0,27
"1466",2,0,58
"1467",,0,44
"1468",2,0,48
"1469",4,0,30
"1470",2,0,41
"1471",2,1,49
"1472",2,1,49
"1473",1,0,41
"1474",1,1,59
"1475",4,0,52
"1476",4,0,55
"1477",4,0,31
"1479",,0,52
"1480",,0,42
"1481",,1,29
"1482",2,0,31
"1483",,0,36
"1486",,0,35
"1487",,0,27
"1488",,0,25
"1489",,0,36
"1490",,0,30
"1491",,0,40
"1492",,0,40
"1493",,0,40
"1494",4,0,42
"1495",4,0,36
"1496",,0,32
"1498",4,0,37
"1499",,0,33
"1500",4,0,55
